id,name,region,family,base,summary,alt_text,fermentation,fermentation_visibility,planarity,batter_identity,griddle_dependence,fillability,savory_orientation,staple_role,ritual_social_weight,technology_complexity,lineage_confidence,pancake_claim
ancient_grain_cake,Ancient grain cake,Archaeological reconstruction,early_grain,wheat; barley; millet; other grains,A hypothetical early pancake: coarse ground grain mixed with water and cooked on hot stone or clay.,Small coarse grain cakes cooking on a heated stone beside a fire.,0,0,5,6,8,2,5,9,3,3,2,4
crepe,Crêpe,France,wheat_thin,wheat,A very thin wheat batter pancake used for sweet or savory fillings.,A thin crêpe folded around fruit and cream on a plate.,0,0,10,10,10,10,4,4,5,5,10,10
dosa,Dosa,South India,rice_lentil_fermented,rice; urad dal,"A fermented rice-and-lentil pancake, often thin and crisp, usually served with chutney and sambar.",Golden dosa folded beside small bowls of chutney and sambar.,9,9,9,10,10,8,9,8,7,9,10,9
injera,Injera,Ethiopia / Eritrea,teff_fermented,teff,"A large fermented teff pancake that functions as bread, plate, and utensil.",Large round injera topped with colorful stews for a shared meal.,10,10,7,10,9,7,8,10,9,9,10,8
blini,Blini,Russia / Eastern Europe,wheat_buckwheat_fermented,wheat; buckwheat,"Thin or small pancakes with strong festival associations, especially Maslenitsa.",Stack of blini with sour cream and herbs.,6,5,6,9,9,7,5,5,10,7,10,9
buttermilk_pancake,Buttermilk pancake,North America,wheat_chemical_leavened,wheat,"A thick, fluffy, chemically leavened breakfast pancake, often served sweet.",Stack of fluffy pancakes with syrup and butter.,1,0,3,10,10,2,1,4,4,6,10,10
okonomiyaki,Okonomiyaki,Japan,savory_mixed_batter,wheat; cabbage; egg,"A savory griddled pancake built from batter, cabbage, toppings, and sauce.","Okonomiyaki topped with sauce, mayonnaise, seaweed, and bonito flakes.",0,0,3,7,9,1,10,5,6,7,10,7
scallion_pancake,Scallion pancake,China,layered_flatbread_pancake,wheat; scallion,"A layered, griddled wheat flatbread that occupies the contested pancake-flatbread border.",Crisp scallion pancake cut into wedges.,0,0,5,2,9,4,10,5,4,6,9,6
jeon,Jeon,Korea,savory_mixed_batter,wheat; egg; vegetables; seafood,A family of savory pan-fried pancakes often served communally or on holidays.,Assorted Korean jeon arranged on a serving platter.,0,0,5,7,9,2,10,5,7,6,10,6
baghrir,Baghrir,Morocco / North Africa,semolina_yeasted,semolina; wheat,A semolina pancake known for its honeycomb-like surface of tiny holes.,Honeycomb-textured baghrir drizzled with honey.,5,5,6,10,9,4,1,4,5,7,9,8
arepa,Arepa,Venezuela / Colombia,corn_cake,corn,A thick corn cake that may be split and filled; a contested but useful pancake-relative.,Arepa split open and filled with cheese and shredded meat.,0,0,1,3,7,10,8,9,6,5,10,4
hoe_cake,Hoe cake,Indigenous and Southern North America,corn_griddle_cake,corn,A cornmeal griddle cake with deep North American roots.,Cornmeal cakes browning on a cast-iron griddle.,0,0,4,7,9,3,6,8,5,4,8,8
latke,Latke,Ashkenazi Jewish traditions,root_pancake,potato; egg,A fried potato pancake with strong holiday associations.,Crisp potato latkes served with applesauce and sour cream.,0,0,3,3,8,1,8,4,9,5,10,5
banh_xeo,Bánh xèo,Vietnam,rice_savory_crisp,rice flour; turmeric; coconut milk,"A crisp savory rice pancake folded around herbs, sprouts, and fillings.",Crisp yellow bánh xèo folded around herbs and bean sprouts.,2,1,7,9,9,9,10,5,6,7,10,8
hopper,Hopper,Sri Lanka,rice_fermented_bowl,rice; coconut,"A bowl-shaped fermented rice pancake, often cooked in a special pan.",Sri Lankan hopper with crisp edges and an egg in the center.,8,8,6,10,8,6,7,7,6,9,10,7
poffertjes,Poffertjes,Netherlands,small_yeasted_pancake,buckwheat; wheat,"Small fluffy pancakes cooked in a special dimpled pan, usually served sweet.",Miniature poffertjes dusted with powdered sugar.,5,3,3,10,8,0,0,2,5,8,10,9
souffle_pancake,Soufflé pancake,Modern Japan / global cafe culture,foam_pancake,egg; wheat,A tall aerated pancake that pushes the pancake category toward cake and foam technology.,Tall soufflé pancakes stacked with cream and fruit.,0,0,0,9,7,0,0,1,4,9,9,10
dutch_baby,Dutch baby,German-American / North America,oven_puffed_pancake,wheat; egg,An oven-puffed pancake that challenges the griddle requirement.,Large puffed Dutch baby pancake in a cast-iron skillet.,0,0,0,10,2,4,2,2,4,7,9,8
yorkshire_pudding,Yorkshire pudding,England,oven_puffed_batter,wheat; egg,A savory oven-puffed batter food; included as a deliberately unhinged pancake-borderline case.,Golden Yorkshire puddings risen in a hot pan.,0,0,0,10,0,6,9,4,6,7,10,2
cachapa,Cachapa,Venezuela / Colombia,sweet_corn_pancake,sweet corn; cheese,A thick sweet corn griddle pancake traditionally folded over fresh cheese.,A golden corn cachapa oozing melted cheese on a plate.,0,0,2,6,9,9,4,7,5,4,10,6
pannenkoek,Pannenkoek,Netherlands,wheat_thin_large,wheat; milk; egg,A large thin pancake often baked with whole slices of bacon or apples directly into the batter.,A wide dinner-plate sized pannenkoek loaded with crispy bacon and syrup.,0,0,7,10,9,5,5,6,5,5,10,10
kaiserschmarrn,Kaiserschmarrn,Austria / Central Europe,shredded_sweet_pancake,wheat; egg; raisins,A shredded sweet pancake caramelized in a pan and served with fruit compotes.,A mound of fluffy torn pancake pieces dusted with powdered sugar.,0,0,3,9,8,0,1,3,7,6,10,8
jianbing,Jianbing,China,savory_street_crepe,millet; mung bean; wheat,A thin street food crepe cooked on a round griddle and folded around a crisp cracker and sauces.,A jianbing being folded on a round flat top grill.,0,0,9,10,10,10,9,6,3,7,10,8
roti_canai,Roti canai,Malaysia / Southeast Asia,layered_stretched_pancake,wheat; ghee,A flaky flatbread-adjacent pancake made by spinning and stretching dough until translucent.,A flaky golden roti canai torn open beside a bowl of curry.,0,0,6,1,9,7,8,7,5,8,10,4
pancake_on_a_stick,Pancake on a stick,Modern US street / convenience,hybrid_fast_food,wheat; pork sausage,A breakfast sausage cloaked in thick pancake batter and deep fried.,A golden-brown pancake on a stick with a bite revealing sausage.,1,0,1,8,2,0,3,2,1,5,10,7
uttapam,Uttapam,South India,rice_lentil_fermented_thick,rice; urad dal,A thick fermented pancake topped with vegetables and cooked on a griddle.,Vegetable-topped uttapam cooking on a hot griddle.,9,8,4,10,10,2,8,8,6,8,10,9
adai,Adai,South India,lentil_pancake,lentils; rice,A hearty savory pancake made from coarsely ground legumes and rice.,Golden adai served with chutney.,1,0,4,8,10,2,10,7,5,7,10,8
apam_balik,Apam balik,Malaysia,sweet_filled_pancake,wheat; peanut; corn,"A folded sweet pancake filled with peanuts, sugar, and corn.",Folded apam balik with visible peanut filling.,3,2,5,9,9,10,0,3,6,7,10,8
martabak_manis,Martabak manis,Indonesia,sweet_thick_pancake,wheat; egg; sugar,"A thick sweet pancake folded around chocolate, nuts, or cheese.",Thick martabak manis folded over sweet fillings.,2,1,2,10,8,10,0,2,7,8,10,8
martabak_telur,Martabak telur,Indonesia,savory_filled_pancake,wheat; egg; meat,A savory stuffed griddled pancake filled with eggs and minced meat.,Savory martabak telur sliced into squares.,0,0,4,7,8,10,10,4,6,8,10,7
msemen,Msemen,Morocco,layered_flatbread_pancake,wheat; semolina,A laminated griddled flatbread occupying the pancake-flatbread borderlands.,Square folded msemen served with tea.,0,0,5,1,9,2,4,6,5,8,10,4
frybread,Frybread,Indigenous North America,fried_flatbread,wheat,A fried flatbread with contested pancake ancestry.,Round frybread puffed and golden from hot oil.,0,0,3,2,2,5,3,5,6,4,9,2
bannock,Bannock,Scotland and Indigenous North America,griddle_flatbread,wheat; oat,"A simple flatbread cooked on a griddle, stone, or pan.",Rustic bannock beside a campfire.,0,0,4,2,7,2,3,7,6,3,10,3
tortilla,Tortilla,Mesoamerica,flatbread_relative,corn; wheat,A foundational flatbread often proposed as a pancake cousin.,Fresh tortillas stacked in a cloth-lined basket.,0,0,8,1,6,8,5,10,8,5,10,1
pita,Pita,Middle East,pocket_flatbread,wheat,A leavened flatbread with a pocket structure.,Pita bread split open to reveal its pocket.,3,1,7,1,1,10,3,8,6,6,10,1
naan,Naan,South Asia,tandoor_flatbread,wheat,A leavened flatbread baked against the wall of a tandoor.,Fresh naan blistered from a clay oven.,4,2,6,1,0,4,3,8,6,7,10,1
funnel_cake,Funnel cake,North America,fried_batter_relative,wheat; sugar,A poured batter fried into a tangled lattice.,Funnel cake dusted with powdered sugar at a fair.,0,0,8,10,0,0,0,1,3,4,10,2
waffle,Waffle,Western Europe and global,grid_cooked_batter,wheat; egg,A batter-based relative that diverged through specialized cookware.,Belgian waffle with deep pockets and berries.,1,0,4,10,0,6,1,2,4,7,10,1
takoyaki,Takoyaki,Japan,batter_ball_relative,wheat; octopus,A spherical batter food representing an extreme pancake-adjacent lineage.,Takoyaki balls topped with sauce and bonito flakes.,0,0,0,8,0,0,10,2,4,8,10,1
